Fashion Week,Topic,Day,Mentions,Impressions,Engagements
2,Luxury,15,121,1195863,21
2,Luxury,16,52,290027,14
2,Luxury,17,31,65898,9
2,Luxury,18,49,270183,7
2,Luxury,19,65,332602,4
2,Streetwear,1,35,51947,1
2,Streetwear,2,27,290394,5
2,Streetwear,3,34,73918,2
2,Streetwear,4,46,368885,12
2,Streetwear,5,66,290163,4
2,Streetwear,6,51,105352,1
2,Streetwear,7,71,111596,10
2,Streetwear,8,239,1218110,36
2,Streetwear,9,250,1425833,142
2,Streetwear,10,483,2688334,394
2,Streetwear,11,485,7755842,282
2,Streetwear,12,550,17471182,422
2,Streetwear,13,559,17715826,379
2,Streetwear,14,325,11741062,295
2,Streetwear,15,154,1724092,223
2,Streetwear,16,113,1654790,61
2,Streetwear,17,80,479236,133
2,Streetwear,18,90,248158,81
2,Streetwear,19,79,505837,22
2,British,1,37,55772,0
2,British,2,18,29355,0
2,British,3,16,434604,1
2,British,4,39,141256,0
2,British,5,39,686518,0
2,British,6,68,98532,0
2,British,7,44,236100,1
2,British,8,140,1178184,0
2,British,9,219,4316137,38
2,British,10,325,2367744,16
2,British,11,209,1174512,1
2,British,12,229,1534389,0
2,British,13,220,1659821,6
2,British,14,112,341490,0
2,British,15,52,560018,0
2,British,16,43,36475,0
2,British,17,30,53736,0
2,British,18,43,181746,0
2,British,19,37,480834,1
2,Creativity,1,55,117353,0
2,Creativity,2,58,469268,0
2,Creativity,3,29,352421,1
2,Creativity,4,59,408670,4
2,Creativity,5,66,135377,9
2,Creativity,6,68,245320,9
2,Creativity,7,89,757251,7
2,Creativity,8,140,1616781,16
2,Creativity,9,128,1800355,243
2,Creativity,10,184,4361791,109
2,Creativity,11,225,1616263,49
2,Creativity,12,195,3735367,54
2,Creativity,13,219,2500426,77
2,Creativity,14,131,1191372,16
2,Creativity,15,110,426606,8
2,Creativity,16,64,238118,22
2,Creativity,17,48,198895,9
2,Creativity,18,49,252913,4
2,Creativity,19,56,1364041,2
2,Global,1,39,57359,0
2,Global,2,24,8548,2
2,Global,3,15,49343,1
2,Global,4,20,33883,0
2,Global,5,39,888678,3
2,Global,6,50,134716,1
2,Global,7,72,583978,453
2,Global,8,149,904675,97
2,Global,9,116,787688,128
2,Global,10,70,317742,59
2,Global,11,89,823277,48
2,Global,12,106,1352462,170
2,Global,13,147,1233185,187
2,Global,14,86,635282,29
2,Global,15,71,402675,13
2,Global,16,107,3263960,27
2,Global,17,35,93311,32
2,Global,18,29,61584,8
2,Global,19,39,106637,5
2,Diversity,1,28,57149,0
2,Diversity,2,39,243304,0
2,Diversity,3,27,275688,0
2,Diversity,4,62,99080,3
2,Diversity,5,33,301114,0
2,Diversity,6,38,49216,0
2,Diversity,7,65,1309324,1
2,Diversity,8,198,1101770,93
2,Diversity,9,181,1255107,39
2,Diversity,10,228,1278743,34
2,Diversity,11,162,545445,67
2,Diversity,12,179,916827,22
2,Diversity,13,124,696219,48
2,Diversity,14,79,474581,19
2,Diversity,15,39,228557,8
2,Diversity,16,32,21639,0
2,Diversity,17,22,218414,2
2,Diversity,18,37,58059,11
2,Diversity,19,54,381635,1
2,Innovation,1,31,57041,1
2,Innovation,2,23,27829,0
2,Innovation,3,16,33106,0
2,Innovation,4,34,197170,0
2,Innovation,5,30,291369,0
2,Innovation,6,46,90258,4
2,Innovation,7,59,122536,12
2,Innovation,8,94,371073,29
2,Innovation,9,70,97133,14
2,Innovation,10,80,137842,60
2,Innovation,11,161,1008933,66
2,Innovation,12,105,1337891,75
2,Innovation,13,101,328352,5
2,Innovation,14,69,123805,7
2,Innovation,15,54,95610,14
2,Innovation,16,29,149634,8
2,Innovation,17,32,105927,4
2,Innovation,18,35,237616,3
2,Innovation,19,31,77108,3
2,Emergingtalent,1,16,13138,0
2,Emergingtalent,2,12,4790,1
2,Emergingtalent,3,6,24461,2
2,Emergingtalent,4,16,13001,2
2,Emergingtalent,5,13,233364,6
2,Emergingtalent,6,26,22087,0
2,Emergingtalent,7,31,48530,0
2,Emergingtalent,8,44,425475,28
2,Emergingtalent,9,47,100261,10
2,Emergingtalent,10,91,267495,4
2,Emergingtalent,11,34,62771,5
2,Emergingtalent,12,42,65535,6
2,Emergingtalent,13,67,329162,23
2,Emergingtalent,14,42,56380,8
2,Emergingtalent,15,21,33739,5
2,Emergingtalent,16,85,32769,10
2,Emergingtalent,17,24,24487,0
2,Emergingtalent,18,12,17387,0
2,Emergingtalent,19,10,437432,0
2,Heritage,1,82,142435,4
2,Heritage,2,60,334712,0
2,Heritage,3,44,303280,0
2,Heritage,4,78,352863,0
2,Heritage,5,77,701572,4
2,Heritage,6,108,228727,3
2,Heritage,7,128,1292587,1
2,Heritage,8,229,1052120,76
2,Heritage,9,321,3292021,79
2,Heritage,10,426,3461397,56
2,Heritage,11,294,1447228,29
2,Heritage,12,275,1195902,26
2,Heritage,13,304,1311648,10
2,Heritage,14,189,750008,16
2,Heritage,15,151,506784,19
2,Heritage,16,122,825367,23
2,Heritage,17,60,435361,7
2,Heritage,18,75,1057628,11
2,Heritage,19,94,960784,2
2,Modelhealth,1,21,5830,0
