Fashion Week,North America,"South America, Central America, and Caribbean",UK,Europe (not UK),Africa ,Middle East,Asia (not Middle East),Oceania
LFW September 2017,0.13359156832717772,0.029456805693180793,0.4220340509863976,0.21538600126114765,0.018646968741554814,0.026394018556886768,0.1283668138005585,0.026123772633096117
LFW September 2017,0.14668769716088328,0.027541858772142686,0.3967483620480466,0.20104343605920894,0.02390196554234409,0.032759039068187334,0.14474642077165736,0.026571220577529725
LFW September 2017,0.15751067052182294,0.02794988296847033,0.3972187801184084,0.20817843866171004,0.018862728899903623,0.03414566983340218,0.12901005094313645,0.027123778053146082
LFW September 2017,0.13198645052020325,0.026252117106218244,0.460198403097024,0.19005564964916524,0.013549479796757804,0.02601016210984757,0.12339704814904427,0.028550689571739656
LFW September 2017,0.13266998341625208,0.02969998492386552,0.4280114578622041,0.19448213478064225,0.018995929443690638,0.03271521181968943,0.13643901703603195,0.026986280717624
FW3 Baseline,0.20497404560089363,0.02680859452000789,0.3566922925290755,0.21430448781128855,0.01849661607201525,0.03508771929824562,0.12004730928444708,0.023588934884026552
LFW February 2018,0.24046726912056424,0.024685915803394312,0.3385497024465506,0.2045404452281243,0.019616486665197268,0.031959444566894424,0.11858055984130483,0.021600176327970025
LFW February 2018,0.2853927526446095,0.024758046365068648,0.2687373396353815,0.22372270988071122,0.01823092505064146,0.03241053342336259,0.12018906144496962,0.02655863155525546
LFW February 2018,0.23056994818652848,0.021373056994818652,0.33506044905008636,0.24632987910189982,0.017055267702936097,0.03151986183074266,0.09671848013816926,0.021373056994818652
LFW February 2018,0.1938107518349534,0.02479666732791113,0.36064272961713945,0.24102360642729617,0.015869867089863123,0.033723467565959134,0.10553461614758976,0.02459829398928784
LFW February 2018,0.2025832766825289,0.02288692499433492,0.37774756401540904,0.21617946974847044,0.015409018808067075,0.03535010197144799,0.10763652843870383,0.022207115341037843
LFW February 2018,0.1788783355947535,0.024875621890547265,0.4050203527815468,0.20511080958842154,0.017639077340569877,0.0336951605608322,0.11374943464495703,0.02103120759837178
LFW February 2018,0.15517956373890687,0.024052417682673966,0.4632993281910923,0.2144812142323961,0.019241934146139172,0.028697022476569627,0.07398191921705234,0.02106660031516961
LFW February 2018,0.1627841442795416,0.026394890099567914,0.47266578996806313,0.19040015029118917,0.016625962802930678,0.02620702611309412,0.07617884651512305,0.028743189930490326
LFW February 2018,0.1510595413193877,0.022334804161900094,0.48215939423653104,0.2144141199542409,0.013400882497140056,0.0257667374843384,0.07201612463910224,0.01884839570735959
LFW February 2018,0.17162707726973994,0.02297123900729196,0.3891653365881138,0.19685162582543111,0.02894876850373987,0.03758645510593685,0.13066065784120426,0.022188839858542232
LFW February 2018,0.10302727045283963,0.024268201150863148,0.5203402551913936,0.20905679259444584,0.013610207655741806,0.025218914185639228,0.08491368526394796,0.019564673505128846
LFW February 2018,0.13922902494331066,0.02947845804988662,0.4906057661159702,0.2225137674117266,0.014512471655328799,0.022513767411726594,0.058082280531260126,0.02306446388079041
LFW February 2018,0.1465364976396159,0.024695719194579146,0.4395452647805003,0.2177655030668936,0.01502938437329394,0.023539612704325766,0.0841067471659334,0.0487812710748579
LFW February 2018,0.14820290593933214,0.0274789701758858,0.4164160081570227,0.21187866428753505,0.019219984705582463,0.028090746877389754,0.10945704817741524,0.03925567167983686
LFW February 2018,0.1402532100206519,0.02469246655293167,0.4328813863697585,0.2057106940827871,0.038071293885247375,0.028194307264074705,0.10307982401005657,0.027116817814492232
LFW February 2018,0.15171200433076196,0.024901881174719177,0.40113682501015024,0.2369738800920287,0.023548518067397484,0.0323453782649885,0.09947218838814453,0.029909324671809446
LFW February 2018,0.171037027276321,0.02411384899196205,0.38687574120437473,0.24970351825009882,0.01686651732771116,0.03491896165502701,0.08525497430491501,0.031229410989590197
LFW February 2018,0.1591602158104621,0.02615528970208773,0.42904058174994136,0.20713112831339434,0.018766127140511377,0.027797325826882477,0.10837438423645321,0.023574947220267418
LFW February 2018,0.15691024088278832,0.024895707172655095,0.40748216929080877,0.2174673664378953,0.017225137935674876,0.030547705557798413,0.11600053828556049,0.029471134436818733
